S.No,Comments,Label
1,"ఎన్ని సార్లు అయిన వినాలని ఉంది చిట్టి తల్లి సూపర్ మా,,",non-hate
2,ఫ్యూచర్ లో బాగ work out అవుతుంది సూపర్.,non-hate
3,ఇది బెండపూడి గవ్నమెంట్ స్టూడెంట్స్ కి మాత్రమే సాధ్యం. ,non-hate
4,తెలుగులో మాట్లాడినప్పుడు చాలా అందంగా వినసొంపుగా ఉంది,non-hate
5,సూపర్ సిస్టర్ ఫ్యూచర్ లో రైల్వే లో జాబ్ రావాలని కోరుకుంటున్నాను అల్ ది బెస్టు,non-hate
6,వావ్ సూపర్ అమ్మ god bless u తల్లి,non-hate
7,ఈ స్కూల్ ని NRI వాళ్ళు Develop చేస్తున్నారు. మిగిలిన స్కూళ్లు కూడా ఎవరో ఒక్కరు మారిస్తే బాగుంటుంది,non-hate
8,సూపర్ బంగారం బాగా చదువుతున్నావ్ కంపల్సరీ ఈ జాబు నీకే వస్తాది .,non-hate
9,చాలా బాగా నేర్పిస్తున్నారు పిల్లలకి,non-hate
10,మ్మెల్యే కాకముందే పోలీస్ ఆఫీసర్ ఇలా నించో పెడుతున్నారు ఇక ముఖ్యమంత్రి అయినాడో జనాలని పరుగులు తీయిస్తాడు,non-hate
11,అబ్బా అబ్బా ఏమి మాట్లాడారు సర్ కేక పుట్టించే సేరుగా నిప్పు సర్ మీరు,non-hate
12,సూపర్ సార్ మీరు చంద్రబాబు నాయుడుకి కావాల్సింది మీలాంటివారు,non-hate
13,రోమాలు నిక్కబోడుచున్నాయ్ మీ స్పీచ్ తో పవర్ ఫుల్ లీడర్ exlent వాయిస్,non-hate
14,"సూపర్ అన్న, తగ్గేదే లేదు అన్న, మీరు తగ్గకండి.",non-hate
15,"ఆలా గడ్డి పేటండి వెధవకి, సూపర్ సార్ పులిలా ఉన్నావ్.",non-hate
16,చాలా బాగా మాట్లాడారు అన్న మీకు,non-hate
17,నాకూ రాజకీయాలు కాదు కానీ నీ డైలాగ్ డెలివరీ బాగుంది..,non-hate
18,చాలా సూపర్ గా మాట్లాడారు సార్,non-hate
19,అన్నా చలబాగా మాట్లాడావ్ టీడీపీ కి మీలాంటివాళ్లు చాలా అవసరం యెంతైనా ఉంది,non-hate
20,సూపర్ సార్ మీలాంటి దమ్మున్న నాయకులుపార్టీకి చాలా అవసరం...,non-hate
21,సూపర్ sir మీలాంటి నాయకుల టీడీపీ లో వుంటే  సూపర్ వుంటుంది,non-hate
22,ఏం చెప్పావ్ అక్క నీ అమ్మ ఎంత గొప్పదో దీన్ని బట్టి అర్థమవుతుంది,non-hate
23,Anna gurinchi chelli excellent ga cheppindi,non-hate
24,మీ అన్న గురించి బాగా చెప్పావ్,non-hate
25,మీ వెనకాల ప్రశాంత్ కిషోర్ నడిపిస్తున్నాడు,non-hate
26,Ahankaram tagginchukondi madam..,non-hate
27,కోక బాగుంది రవికి ఇంకా బాగుంది,non-hate
28,గెలిపించుకొన్నాం కదా తల్లి ఈ నరకం అనుభూవించాలి,non-hate
29,నిజాలు నిజాయితీగా ఒప్పుకునే మనిషి,non-hate
30,గోరెంట్ల ను నిన్ను ఒక్క స్క్రీన్ మీద చూడాలని ఉంది.,non-hate
31,అప్పటికన్నా ఇప్పుడే బాగుంది,non-hate
32,బాలయ్య బాబునే అయోమయంలో పెట్టించావుగా అన్నా,non-hate
33,నవ్వు ఆపుకోలేకపోతున్నాను అన్న,non-hate
34,ఏమో కానీ విజయశాంతి కి మాత్రం ఖచ్చితం గా ఇంజక్షన్ చేసిఉంటాడు,non-hate
35,బాలయ్య బాబు feeling ; వీడికెల తెలిసింది అబ్బా,non-hate
36,పాపం బాలయ్య ఎం అర్దం కాలేదు,non-hate
